bl_qv,bl_z,delta_theta,delta_qv,n_a,baut
7.340129896408046584e+00,1.198250000000000000e+03,1.124980422570314431e+01,-5.699339706903729486e+00,3.249940512563344441e+02,-1.659719665216289997e+00
1.017255684371808933e+01,1.264250000000000000e+03,1.440739305822626193e+01,-4.449580924650760494e+00,1.216061886782460846e+02,-1.558019408333600087e+00
1.098877402488122890e+01,4.862040363003622474e+02,1.360920306415926007e+01,-7.497498968157053412e+00,1.764706809864073307e+02,-1.491620832300750044e+00
1.055247395634054186e+01,6.453536076727235695e+02,7.085328735244615928e+00,-2.824768336889444953e+00,1.053724719316178380e+02,-1.673413556236930111e+00
1.046982734046201280e+01,1.159750000000000000e+03,1.958769900669517483e+01,-3.219280810001887261e+00,2.820534544819270195e+02,-1.537405662917390003e+00
8.411919051725577745e+00,7.142499927645829985e+02,8.043954714035521647e+00,-3.988228786910937629e+00,2.920153429809324734e+02,-1.779359079353910023e+00
9.889022064659558353e+00,9.342500000000000000e+02,1.764711333490612333e+01,-4.157747356892037338e+00,1.454517155572915499e+02,-1.367907827105460106e+00
9.385553325133134450e+00,7.802500000000000000e+02,1.400261794250025105e+01,-3.267170591140630798e+00,1.963957896021466070e+02,-1.850464387499169971e+00
1.030428357521931559e+01,9.287500000000000000e+02,1.520631324896311298e+01,-4.622190039020589225e+00,3.761657923376678241e+02,-1.476597752719029932e+00
1.081057342520970366e+01,7.967500000000000000e+02,1.456581444912995948e+01,-7.159134643050046876e+00,2.776499493081237233e+02,-1.441756692994750066e+00
9.141736717306532256e+00,7.912500000000000000e+02,1.155450808804891949e+01,-3.761415462001652443e+00,2.726396151592226715e+02,-1.959726404246509901e+00
9.862890837032651348e+00,1.170750000000000000e+03,1.866930849039675877e+01,-4.184482703104898782e+00,3.588712451285468319e+02,-1.449389614623949996e+00
1.065569276287891221e+01,6.453536076727235695e+02,1.606929779732774932e+01,-1.867661795230413091e+00,3.452045729098339848e+02,-1.545484927711320067e+00
9.244685299401844247e+00,7.142499927645829985e+02,1.551789890890688639e+01,-6.394790109127010957e+00,3.492286811674453020e+02,-1.320689681815740091e+00
9.385553325133134450e+00,7.802500000000000000e+02,1.400261794250025105e+01,-3.267170591140630798e+00,1.963957896021466070e+02,-1.460444936966559970e+00
8.255974966641234758e+00,1.126750000000000000e+03,1.780750119392411079e+01,-3.341238368999711383e+00,3.882798059426863801e+02,-1.410917303957619939e+00
8.108146993942623837e+00,1.209250000000000000e+03,1.622054151050377868e+01,-2.181715232082028777e+00,3.330315139796304038e+02,-1.820463204049100003e+00
9.727088760951639657e+00,1.170750000000000000e+03,1.337312488164769775e+01,-2.407577929634205915e+00,2.500041174542806459e+02,-1.504480041017320024e+00
